date,cash,position_value,equity,gross_exposure,target_exposure,num_positions,trend_regime,vol_regime
2013-06-06,879863.5078417077,122121.80939791727,1001985.3172396249,0.12187983925188778,0.1,8,NEUTRAL,HIGH_VOL
2013-06-07,879863.5078417077,121215.80843279886,1001079.3162745065,0.12108511929294542,0.1,8,NEUTRAL,HIGH_VOL
2013-06-10,879863.5078417077,120252.90811465311,1000116.4159563608,0.12023891038690865,0.1,8,NEUTRAL,HIGH_VOL
2013-06-11,879863.5078417077,117922.45362399149,997785.9614656991,0.1181841178149762,0.1,8,NEUTRAL,HIGH_VOL
2013-06-12,878469.2873758571,120169.89853976299,998639.1859156201,0.12033365026586963,0.1,8,BEAR,MID_VOL
2013-06-13,889085.9270700573,107093.4637825303,996179.3908525875,0.10750419529445752,0.1,7,BEAR,MID_VOL
2013-06-14,911911.0210990714,84394.95514987041,996305.9762489417,0.08470786802626093,0.1,5,NEUTRAL,HIGH_VOL
2013-06-17,911911.0210990714,86070.57807848978,997981.5991775611,0.08624465435978051,0.1,5,NEUTRAL,HIGH_VOL
2013-06-18,862224.8184310865,136886.48912259948,999111.307553686,0.1370082473170729,0.1,10,NEUTRAL,HIGH_VOL
2013-06-19,862224.8184310865,136946.0023672284,999170.8207983149,0.1370596493778828,0.1,10,NEUTRAL,HIGH_VOL
2013-06-20,862224.8184310865,134416.42054960143,996641.2389806879,0.1348694146823339,0.1,10,BEAR,HIGH_VOL
2013-06-21,872443.0518639284,123061.51019498719,995504.5620589156,0.12361722375281713,0.1,9,BEAR,HIGH_VOL
2013-06-24,872443.0518639284,121256.73327085389,993699.7851347823,0.12202552026757961,0.1,9,BEAR,HIGH_VOL
2013-06-25,872443.0518639284,121057.34532377137,993500.3971876998,0.12184931749040889,0.1,9,BEAR,HIGH_VOL
2013-06-26,872443.0518639284,120954.3590948285,993397.4109587569,0.12175827897325794,0.1,9,BEAR,HIGH_VOL
2013-06-27,872443.0518639284,121034.17363950623,993477.2255034347,0.12182883566170666,0.1,9,BEAR,HIGH_VOL
2013-06-28,872443.0518639284,122488.2120306195,994931.2638945479,0.12311223546353645,0.1,9,NEUTRAL,HIGH_VOL
2013-07-01,872443.0518639284,123654.93724958834,996097.9891135168,0.12413933026773379,0.1,9,NEUTRAL,HIGH_VOL
2013-07-02,872443.0518639284,123338.07872145114,995781.1305853795,0.12386063054734292,0.1,9,NEUTRAL,HIGH_VOL
2013-07-03,872443.0518639284,122504.4228071445,994947.4746710729,0.12312652268165628,0.1,9,NEUTRAL,HIGH_VOL
2013-07-04,872443.0518639284,123391.92540113864,995834.977265067,0.1239080050592506,0.1,9,NEUTRAL,HIGH_VOL
2013-07-05,872443.0518639284,123166.81896345553,995609.870827384,0.12370992149876932,0.1,9,NEUTRAL,HIGH_VOL
2013-07-08,872443.0518639284,122750.35851423678,995193.4103781652,0.12334321874940135,0.1,9,NEUTRAL,HIGH_VOL
2013-07-09,872443.0518639284,123613.19333021578,996056.2451941442,0.12410262364864946,0.1,9,BULL,HIGH_VOL
2013-07-10,872443.0518639284,123311.28520338473,995754.3370673131,0.1238370556000389,0.1,9,NEUTRAL,HIGH_VOL
2013-07-11,872443.0518639284,125397.66850416598,997840.7203680944,0.12566902306603395,0.1,9,BULL,HIGH_VOL
2013-07-12,872443.0518639284,127448.26818220553,999891.320046134,0.12746212075960936,0.1,9,BULL,HIGH_VOL
2013-07-15,872443.0518639284,130392.29113142427,1002835.3429953527,0.13002362954416588,0.1,9,BULL,HIGH_VOL
2013-07-16,857739.0671448454,143536.0668806308,1001275.1340254762,0.14335327224552719,0.1,10,BULL,HIGH_VOL
2013-07-17,857739.0671448454,144124.82360212738,1001863.8907469728,0.14385669044791138,0.1,10,BULL,HIGH_VOL
2013-07-18,857739.0671448454,143743.29647200042,1001482.3636168458,0.14353053203340757,0.1,10,BULL,HIGH_VOL
2013-07-19,857739.0671448454,144647.39910261566,1002386.466247461,0.14430302480451315,0.1,10,BULL,HIGH_VOL
2013-07-22,857739.0671448454,144117.77608625824,1001856.8432311036,0.14385066794719076,0.1,10,BULL,HIGH_VOL
2013-07-23,857739.0671448454,142881.48211805758,1000620.5492629029,0.14279287210652408,0.1,10,BULL,HIGH_VOL
2013-07-24,857739.0671448454,143326.17726271087,1001065.2444075563,0.14317366231961556,0.1,10,BULL,HIGH_VOL
2013-07-25,854870.1934306427,145210.9509290927,1000081.1443597354,0.14519916883550343,0.1,10,BULL,HIGH_VOL
2013-07-26,854870.1934306427,143546.6542371982,998416.8476678409,0.14377427080933447,0.1,10,BULL,HIGH_VOL
2013-07-29,854870.1934306427,142420.03749983248,997290.2309304752,0.1428070115225676,0.1,10,NEUTRAL,HIGH_VOL
2013-07-30,854870.1934306427,141753.7991880649,996623.9926187076,0.14223398216171346,0.1,10,BEAR,HIGH_VOL
2013-07-31,854870.1934306427,142314.6191038364,997184.8125344791,0.1427163925031356,0.1,10,BEAR,HIGH_VOL
2013-08-01,906526.0064487093,90004.07983534274,996530.086284052,0.09031747367604101,0.1,8,BEAR,HIGH_VOL
2013-08-02,906526.0064487093,89353.03701155123,995879.0434602605,0.08972278069140509,0.1,8,BEAR,HIGH_VOL
2013-08-05,906526.0064487093,88800.68673078952,995326.6931794988,0.08921762808060756,0.1,8,BEAR,HIGH_VOL
2013-08-06,906526.0064487093,88980.37762587008,995506.3840745793,0.0893820261218978,0.1,8,BEAR,HIGH_VOL
2013-08-07,906526.0064487093,87267.06141798434,993793.0678666936,0.08781210519541505,0.1,8,BEAR,HIGH_VOL
2013-08-08,906526.0064487093,87962.05670301852,994488.0631517278,0.08844958523106804,0.1,8,BEAR,HIGH_VOL
2013-08-12,920406.4142408167,74996.8544325107,995403.2686733274,0.07534318681961578,0.1,7,BEAR,MID_VOL
2013-08-13,933476.1995584605,62235.09906141694,995711.2986198774,0.06250315643468038,0.1,6,BEAR,HIGH_VOL
2013-08-14,899620.2310034407,96040.34927503999,995660.5802784807,0.09645892503666063,0.1,10,BEAR,HIGH_VOL
2013-08-16,904059.5118263456,91520.22979872163,995579.7416250672,0.09192656898515711,0.1,9,BEAR,HIGH_VOL
2013-08-19,904059.5118263456,91211.06938307222,995270.5812094178,0.09164449457778179,0.1,9,BEAR,HIGH_VOL
2013-08-20,904059.5118263456,89883.90323011811,993943.4150564637,0.09043160995740589,0.1,9,BEAR,HIGH_VOL
2013-08-21,904059.5118263456,89156.56897108491,993216.0807974305,0.08976553108111494,0.1,9,BEAR,HIGH_VOL
2013-08-22,914870.2099107098,78694.37556593354,993564.5854766433,0.07920408669576467,0.1,8,BEAR,HIGH_VOL
2013-08-23,914870.2099107098,79482.63603346284,994352.8459441726,0.07993403584820166,0.1,8,BEAR,HIGH_VOL
2013-08-26,914870.2099107098,79690.5586714023,994560.768582112,0.08012638462002933,0.1,8,BEAR,HIGH_VOL
2013-08-27,914870.2099107098,78761.22462599214,993631.4345367019,0.07926603556248796,0.1,8,BEAR,HIGH_VOL
2013-08-28,914870.2099107098,79149.39207594331,994019.601986653,0.07962558476488281,0.1,8,BEAR,HIGH_VOL
2013-08-29,914870.2099107098,80323.78163282808,995193.9915435378,0.08071168266223808,0.1,8,BEAR,HIGH_VOL
2013-08-30,914870.2099107098,80919.45018141207,995789.6600921218,0.08126158909294771,0.1,8,BEAR,HIGH_VOL
2013-09-02,914870.2099107098,80784.28267042573,995654.4925811355,0.08113686351276385,0.1,8,BEAR,HIGH_VOL
2013-09-03,914870.2099107098,80215.56880323825,995085.778713948,0.08061171259718845,0.1,8,BEAR,HIGH_VOL
2013-09-04,914870.2099107098,80651.12172071871,995521.3316314284,0.08101395636450125,0.1,8,BEAR,HIGH_VOL
2013-09-05,914870.2099107098,80965.21940748628,995835.429318196,0.08130381489130141,0.1,8,NEUTRAL,HIGH_VOL
2013-09-06,914870.2099107098,80910.17210524018,995780.3820159499,0.08125302884702161,0.1,8,NEUTRAL,HIGH_VOL
2013-09-10,914870.2099107098,82269.0602277988,997139.2701385085,0.08250508498814928,0.1,8,NEUTRAL,HIGH_VOL
2013-09-11,914870.2099107098,82876.55772535737,997746.7676360671,0.08306371958659854,0.1,8,NEUTRAL,HIGH_VOL
2013-09-12,914870.2099107098,82875.07829420503,997745.2882049148,0.08306235997697273,0.1,8,NEUTRAL,HIGH_VOL
2013-09-13,893783.0078596644,103295.54458753999,997078.5524472044,0.10359820129919957,0.1,10,NEUTRAL,HIGH_VOL
2013-09-16,893783.0078596644,102119.5360578769,995902.5439175413,0.10253968792586214,0.1,10,NEUTRAL,HIGH_VOL
2013-09-17,893783.0078596644,102659.60524122651,996442.6131008909,0.10302610897154808,0.1,10,NEUTRAL,HIGH_VOL
2013-09-18,893783.0078596644,102115.52961866792,995898.5374783323,0.10253607749764332,0.1,10,NEUTRAL,HIGH_VOL
2013-09-19,893783.0078596644,103100.06448500093,996883.0723446653,0.10342242470073242,0.1,10,NEUTRAL,HIGH_VOL
2013-09-20,893783.0078596644,103548.41481153901,997331.4226712034,0.10382548113665169,0.1,10,NEUTRAL,HIGH_VOL
2013-09-23,893783.0078596644,103462.24061720308,997245.2484768674,0.10374804069031675,0.1,10,NEUTRAL,HIGH_VOL
2013-09-24,893783.0078596644,103298.43080274995,997081.4386624143,0.10360079608073428,0.1,10,NEUTRAL,HIGH_VOL
2013-09-25,893783.0078596644,103553.7870344394,997336.7948941038,0.10383030844202899,0.1,10,NEUTRAL,HIGH_VOL
2013-09-26,893783.0078596644,103663.63575880465,997446.643618469,0.10392900354322791,0.1,10,NEUTRAL,HIGH_VOL
2013-09-27,893783.0078596644,104163.2043165439,997946.2121762083,0.10437757370649922,0.1,10,NEUTRAL,HIGH_VOL
2013-09-30,893783.0078596644,104187.84990065034,997970.8577603147,0.10439969172493954,0.1,10,NEUTRAL,HIGH_VOL
2013-10-01,893783.0078596644,104473.6843580478,998256.6922177122,0.10465613220778978,0.1,10,NEUTRAL,HIGH_VOL
2013-10-03,893783.0078596644,105991.54065077241,999774.5485104368,0.10601544199008578,0.1,10,NEUTRAL,HIGH_VOL
2013-10-04,893783.0078596644,107140.03300611909,1000923.0408657835,0.10704122957689591,0.1,10,NEUTRAL,HIGH_VOL
2013-10-07,893783.0078596644,107712.8436750644,1001495.8515347288,0.10755196190778156,0.1,10,NEUTRAL,HIGH_VOL
2013-10-08,893783.0078596644,107474.03917066987,1001257.0470303342,0.10733910886263537,0.1,10,NEUTRAL,HIGH_VOL
2013-10-09,893783.0078596644,107788.9722329741,1001571.9800926385,0.10761979605600025,0.1,10,BULL,HIGH_VOL
2013-10-10,890803.5390600587,110986.025597977,1001789.5646580356,0.11078776373146038,0.1,10,BULL,HIGH_VOL
2013-10-11,890803.5390600587,110755.94900909715,1001559.4880691558,0.11058349536742611,0.1,10,BULL,HIGH_VOL
2013-10-14,890803.5390600587,111010.69017425828,1001814.229234317,0.11080965605679544,0.1,10,BULL,HIGH_VOL
2013-10-15,890803.5390600587,110468.25712219528,1001271.796182254,0.11032794246617086,0.1,10,BULL,HIGH_VOL
2013-10-17,888617.7634079433,112472.7700845366,1001090.5334924799,0.11235024837579437,0.1,10,BULL,HIGH_VOL
2013-10-18,885737.7066351883,115578.73887649828,1001316.4455116866,0.11542678580240029,0.1,10,BULL,HIGH_VOL
2013-10-21,883972.9740413219,115066.33507934862,999039.3091206705,0.11517698455792208,0.1,10,BULL,HIGH_VOL
2013-10-22,883972.9740413219,113912.28215423875,997885.2561955607,0.1141536879586031,0.1,10,BULL,HIGH_VOL
2013-10-23,891360.7283266314,105970.83001343065,997331.558340062,0.10625436358376777,1.0,9,BULL,MID_VOL
2013-10-24,891360.7283266314,105988.58902089566,997349.317347527,0.10627027780274087,1.0,9,BULL,MID_VOL
2013-10-25,891360.7283266314,106222.3608714816,997583.089198113,0.10647971283962551,1.0,9,BULL,MID_VOL
2013-10-28,861442.0518585627,133870.89222066372,995312.9440792265,0.13450130736972277,1.0,9,BULL,MID_VOL
2013-10-29,814823.3741139277,182946.51383702725,997769.887950955,0.1833554169616511,1.0,9,BULL,MID_VOL
2013-10-30,814823.3741139277,185474.16520040005,1000297.5393143278,0.1854189957595384,1.0,9,BULL,MID_VOL
2013-10-31,814823.3741139277,187435.9689952609,1002259.3431091886,0.18701344146496138,1.0,9,BULL,MID_VOL
2013-11-01,814823.3741139277,191538.25048177212,1006361.6245956998,0.19032745863965306,1.0,9,BULL,MID_VOL
2013-11-05,814823.3741139277,192849.11736409634,1007672.491478024,0.19138075018921177,1.0,9,BULL,MID_VOL
2013-11-06,814823.3741139277,195296.97303884,1010120.3471527677,0.19334030206333805,1.0,9,BULL,MID_VOL
2013-11-07,814823.3741139277,194385.83662526577,1009209.2107391935,0.1926120318332095,1.0,9,BULL,MID_VOL
2013-11-08,784584.2356236323,224758.0687114474,1009342.3043350797,0.2226777454448522,1.0,9,BULL,MID_VOL
2013-11-11,784584.2356236323,222426.64103810757,1007010.8766617399,0.2208780919779696,1.0,9,BULL,MID_VOL
2013-11-12,784584.2356236323,220875.60871236294,1005459.8443359953,0.21967621079708954,0.5,9,NEUTRAL,MID_VOL
2013-11-13,710455.6760703062,290803.5751659152,1001259.2512362214,0.2904378409556463,0.5,10,NEUTRAL,MID_VOL
2013-11-14,710455.6760703062,295595.39399831265,1006051.0700686189,0.2938174838163546,0.5,10,NEUTRAL,MID_VOL
2013-11-18,710455.6760703062,298135.8208476779,1008591.4969179841,0.2955962069467273,1.0,10,BULL,MID_VOL
2013-11-19,710455.6760703062,297865.555901694,1008321.2319720002,0.295407402380242,1.0,10,BULL,MID_VOL
2013-11-20,710455.6760703062,297002.54976504896,1007458.2258353552,0.29480383617770656,0.5,10,NEUTRAL,MID_VOL
2013-11-21,710455.6760703062,290436.72888797376,1000892.40495828,0.29017777280474016,0.5,10,NEUTRAL,MID_VOL
2013-11-22,710455.6760703062,287966.60722964857,998422.2832999548,0.2884216548912251,0.5,10,NEUTRAL,MID_VOL
2013-11-25,710455.6760703062,290214.19201511,1000669.8680854163,0.29001991692862444,0.1,10,NEUTRAL,HIGH_VOL
2013-11-26,710455.6760703062,289057.2836746559,999512.9597449622,0.2891981348079892,0.1,10,NEUTRAL,HIGH_VOL
2013-11-27,710455.6760703062,291218.1376022682,1001673.8136725745,0.29073150723041774,0.1,10,NEUTRAL,HIGH_VOL
2013-11-28,710455.6760703062,292937.44274753187,1003393.1188178381,0.2919468324565154,0.5,10,NEUTRAL,MID_VOL
2013-11-29,710455.6760703062,297938.7786697731,1008394.4547400794,0.2954585651173269,0.1,10,NEUTRAL,HIGH_VOL
2013-12-02,710455.6760703062,299306.8834137306,1009762.5594840369,0.2964131325751163,0.1,10,NEUTRAL,HIGH_VOL
2013-12-03,710455.6760703062,296292.4923767433,1006748.1684470496,0.2943064627907758,0.1,10,NEUTRAL,HIGH_VOL
2013-12-04,710455.6760703062,295525.92223209,1005981.5983023962,0.2937687157804803,0.1,10,NEUTRAL,HIGH_VOL
2013-12-05,710455.6760703062,301372.9866478018,1011828.662718108,0.29784982156782736,0.1,10,BULL,HIGH_VOL
2013-12-06,704692.4780137647,310896.1215583853,1015588.59957215,0.30612407591948204,0.1,10,BULL,HIGH_VOL
2013-12-09,701507.2117916062,320950.95394821686,1022458.165739823,0.31390130638350905,0.1,10,BULL,HIGH_VOL
2013-12-10,694009.4333217194,328627.68330307526,1022637.1166247947,0.3213531740249251,0.1,10,BULL,HIGH_VOL
2013-12-11,692250.1714520201,332658.8305809073,1024909.0020329274,0.32457401576244516,0.1,10,BULL,HIGH_VOL
2013-12-12,692250.1714520201,330616.21441574616,1022866.3858677662,0.32322522177250185,0.1,10,BULL,HIGH_VOL
2013-12-13,692250.1714520201,326333.6052543692,1018583.7767063893,0.3203797397103411,0.1,10,BULL,HIGH_VOL
2013-12-16,692250.1714520201,327335.6214210562,1019585.7928730763,0.32104764867178254,0.5,10,NEUTRAL,MID_VOL
2013-12-17,681106.1083412183,338204.5146095328,1019310.6229507511,0.33179730201425894,0.5,10,NEUTRAL,MID_VOL
2013-12-18,681106.1083412183,342779.5141365103,1023885.6224777286,0.33478301346493067,1.0,10,BULL,MID_VOL
2013-12-19,681106.1083412183,342576.59889908356,1023682.7072403019,0.3346511536007282,1.0,10,BULL,MID_VOL
2013-12-20,650433.3520502532,380414.3951446585,1030847.7471949117,0.36903063151646015,1.0,10,BULL,MID_VOL
2013-12-23,650433.3520502532,384704.388598638,1035137.7406488912,0.3716456018282943,1.0,10,BULL,MID_VOL
2013-12-24,650433.3520502532,385601.35948868317,1036034.7115389364,0.37218961410656504,1.0,10,BULL,LOW_VOL
2013-12-26,650433.3520502532,386614.49456711335,1037047.8466173665,0.37280294812642356,1.0,10,BULL,LOW_VOL
2013-12-27,650433.3520502532,388666.6824104361,1039100.0344606893,0.37404164134414714,1.0,10,BULL,LOW_VOL
2013-12-30,650433.3520502532,387827.3395149283,1038260.6915651815,0.37353560879809217,1.0,10,BULL,LOW_VOL
2013-12-31,650433.3520502532,391713.6652137808,1042147.017264034,0.3758717903757507,1.0,10,BULL,LOW_VOL
2014-01-01,650433.3520502532,392184.1852371268,1042617.53728738,0.37615345149237384,1.0,10,BULL,LOW_VOL
2014-01-02,650433.3520502532,385797.3563568167,1036230.7084070699,0.3723083607026836,1.0,10,BULL,LOW_VOL
2014-01-03,650433.3520502532,390304.79226990265,1040738.1443201558,0.3750268925954112,1.0,10,NEUTRAL,LOW_VOL
2014-01-06,650433.3520502532,389491.15025635285,1039924.502306606,0.37453791058143304,1.0,10,NEUTRAL,LOW_VOL
2014-01-07,650433.3520502532,384776.94280548615,1035210.2948557393,0.3716896409527171,1.0,10,NEUTRAL,LOW_VOL
2014-01-08,650433.3520502532,386525.34294052643,1036958.6949907796,0.3727490254025628,1.0,10,NEUTRAL,LOW_VOL
2014-01-09,650433.3520502532,387350.1190368704,1037783.4710871236,0.37324753171401376,1.0,10,NEUTRAL,LOW_VOL
2014-01-10,587383.160275038,445588.84596176667,1032972.0062368046,0.43136584851421156,1.0,10,NEUTRAL,LOW_VOL
2014-01-13,587383.160275038,448500.2973625235,1035883.4576375615,0.4329640502082874,1.0,10,BULL,LOW_VOL
2014-01-14,587383.160275038,443631.8026573233,1031014.9629323613,0.43028648332665115,1.0,10,BULL,LOW_VOL
2014-01-15,587383.160275038,452517.9437171988,1039901.1039922368,0.4351547872965591,1.0,10,BULL,LOW_VOL
2014-01-16,587383.160275038,452850.6524498038,1040233.8127248418,0.4353354475794087,1.0,10,BULL,LOW_VOL
2014-01-17,568664.751799495,465237.0651008658,1033901.8169003607,0.44998186239351745,1.0,10,BULL,LOW_VOL
2014-01-20,568664.751799495,472049.1973754935,1040713.9491749884,0.4535820796384097,1.0,10,BULL,LOW_VOL
2014-01-21,568664.751799495,478468.0675956778,1047132.8193951728,0.45693159333124755,1.0,10,BULL,LOW_VOL
2014-01-22,568664.751799495,479455.0152771048,1048119.7670765998,0.45744296628847453,1.0,10,BULL,LOW_VOL
2014-01-23,568664.751799495,474544.0137588553,1043208.7655583502,0.45488882899183464,1.0,10,BULL,LOW_VOL
2014-01-24,568664.751799495,461002.2830230765,1029667.0348225714,0.4477197651593408,1.0,10,NEUTRAL,LOW_VOL
2014-01-27,568664.751799495,442841.2241622977,1011505.9759617926,0.43780386343365013,1.0,10,NEUTRAL,LOW_VOL
2014-01-28,568664.751799495,440244.43373032135,1008909.1855298163,0.4363568496000286,1.0,10,NEUTRAL,LOW_VOL
2014-01-29,568664.751799495,439077.14162750763,1007741.8934270026,0.4357039679419787,1.0,10,NEUTRAL,LOW_VOL
2014-01-30,630886.1077000012,365129.56626816315,996015.6739681644,0.36659018106961416,1.0,9,NEUTRAL,LOW_VOL
2014-01-31,630886.1077000012,371093.6793777518,1001979.787077753,0.3703604445555099,1.0,9,NEUTRAL,LOW_VOL
2014-02-03,630886.1077000012,364983.1867744498,995869.294474451,0.36649707828080186,1.0,9,NEUTRAL,LOW_VOL
2014-02-04,712388.2418306237,286765.81877060456,999154.0606012283,0.2870086106621504,1.0,8,NEUTRAL,LOW_VOL
2014-02-05,712388.2418306237,286834.2454711966,999222.4873018203,0.2870574362730058,1.0,8,NEUTRAL,LOW_VOL
2014-02-06,712388.2418306237,286702.04392548127,999090.285756105,0.28696309834351663,1.0,8,NEUTRAL,LOW_VOL
2014-02-07,512700.7672162669,481439.5599128775,994140.3271291445,0.4842772662720238,1.0,10,NEUTRAL,LOW_VOL
2014-02-10,512700.7672162669,477753.9701950125,990454.7374112795,0.482358205932462,1.0,10,NEUTRAL,LOW_VOL
2014-02-11,530114.4460365408,462903.5269920401,993017.9730285809,0.4661582565119563,1.0,9,NEUTRAL,LOW_VOL
2014-02-12,530114.4460365408,461821.54154892487,991935.9875854657,0.46557595180418243,1.0,9,NEUTRAL,LOW_VOL
2014-02-13,530114.4460365408,454707.5345832877,984821.9806198284,0.46171546079536463,1.0,9,NEUTRAL,LOW_VOL
2014-02-14,530114.4460365408,456516.2231285147,986630.6691650555,0.4627022424863859,1.0,9,NEUTRAL,LOW_VOL
2014-02-17,530114.4460365408,458529.52345963044,988643.9694961712,0.4637964096350119,1.0,9,NEUTRAL,LOW_VOL
2014-02-18,530114.4460365408,464783.196785603,994897.6428221439,0.4671668489103974,1.0,9,NEUTRAL,LOW_VOL
2014-02-19,530114.4460365408,463668.4647833447,993782.9108198856,0.4665691669026703,1.0,9,NEUTRAL,LOW_VOL
2014-02-20,530114.4460365408,456818.7644735913,986933.2105101321,0.46286694946405543,1.0,9,NEUTRAL,LOW_VOL
2014-02-21,530114.4460365408,459867.9248625378,989982.3708990787,0.4645213272281774,1.0,9,NEUTRAL,LOW_VOL
2014-02-24,530114.4460365408,458601.4358030896,988715.8818396304,0.463835409369377,1.0,9,BULL,LOW_VOL
2014-02-25,530114.4460365408,471606.436595159,1001720.8826316998,0.47079625150287835,1.0,9,BULL,LOW_VOL
2014-02-26,530114.4460365408,470313.5474655203,1000427.9935020611,0.47011234243771827,1.0,9,BULL,LOW_VOL
2014-02-28,530114.4460365408,472620.9301673941,1002735.3762039349,0.4713316607583945,1.0,9,BULL,LOW_VOL
2014-03-03,530114.4460365408,471832.661204534,1001947.1072410748,0.4709157377616023,1.0,9,BULL,LOW_VOL
2014-03-04,530114.4460365408,478945.8984489441,1009060.3444854849,0.47464544718894525,1.0,9,BULL,LOW_VOL
2014-03-05,530114.4460365408,486066.62616348267,1016181.0722000235,0.47832678590553995,1.0,9,BULL,LOW_VOL
2014-03-06,530114.4460365408,489432.82082366943,1019547.2668602102,0.48004917156114096,1.0,9,BULL,LOW_VOL
2014-03-07,530114.4460365408,490623.1216125488,1020737.5676490896,0.48065549575345484,1.0,9,BULL,LOW_VOL
2014-03-10,428054.04179986904,598395.4547233582,1026449.4965232272,0.5829760321869059,1.0,10,BULL,LOW_VOL
2014-03-11,428054.04179986904,602097.4742393494,1030151.5160392184,0.5844746766517667,1.0,10,BULL,LOW_VOL
2014-03-12,422577.04718704557,604486.8782348633,1027063.9254219088,0.5885581834514784,1.0,10,BULL,LOW_VOL
